external_id,name,is_tbd,latitude,longitude,raw
great-bay-virgin-islands-u-s-,"Great Bay, Virgin Islands (U.S.)",False,18.322472111215845,-64.84319037600663,"{""type"": ""Feature"", ""properties"": {""id"": ""great-bay-virgin-islands-u-s-"", ""name"": ""Great Bay, Virgin Islands (U.S.)"", ""is_tbd"": false}, ""geometry"": {""type"": ""Point"", ""coordinates"": [-64.84319037600663, 18.322472111215845]}}"
brewers-bay-virgin-islands-u-s-,"Brewer's Bay, Virgin Islands (U.S.)",False,18.342402587783717,-64.97531918865539,"{""type"": ""Feature"", ""properties"": {""id"": ""brewers-bay-virgin-islands-u-s-"", ""name"": ""Brewer's Bay, Virgin Islands (U.S.)"", ""is_tbd"": false}, ""geometry"": {""type"": ""Point"", ""coordinates"": [-64.97531918865539, 18.342402587783717]}}"
frederiksted-virgin-islands-u-s-,"Frederiksted, Virgin Islands (U.S.)",False,17.71242997088509,-64.88152042697823,"{""type"": ""Feature"", ""properties"": {""id"": ""frederiksted-virgin-islands-u-s-"", ""name"": ""Frederiksted, Virgin Islands (U.S.)"", ""is_tbd"": false}, ""geometry"": {""type"": ""Point"", ""coordinates"": [-64.88152042697823, 17.71242997088509]}}"
domburg-netherlands,"Domburg, Netherlands",False,51.56395317878603,3.496165508627551,"{""type"": ""Feature"", ""properties"": {""id"": ""domburg-netherlands"", ""name"": ""Domburg, Netherlands"", ""is_tbd"": false}, ""geometry"": {""type"": ""Point"", ""coordinates"": [3.496165508627551, 51.56395317878603]}}"
kupang-indonesia,"Kupang, Indonesia",False,-10.183308656195656,123.5833851252144,"{""type"": ""Feature"", ""properties"": {""id"": ""kupang-indonesia"", ""name"": ""Kupang, Indonesia"", ""is_tbd"": false}, ""geometry"": {""type"": ""Point"", ""coordinates"": [123.5833851252144, -10.183308656195656]}}"
taytay-philippines,"Taytay, Philippines",False,10.819603438863586,119.50038020515338,"{""type"": ""Feature"", ""properties"": {""id"": ""taytay-philippines"", ""name"": ""Taytay, Philippines"", ""is_tbd"": false}, ""geometry"": {""type"": ""Point"", ""coordinates"": [119.50038020515338, 10.819603438863586]}}"
san-jose-philippines,"San Jose, Philippines",False,12.362623239786029,121.05008613857723,"{""type"": ""Feature"", ""properties"": {""id"": ""san-jose-philippines"", ""name"": ""San Jose, Philippines"", ""is_tbd"": false}, ""geometry"": {""type"": ""Point"", ""coordinates"": [121.05008613857723, 12.362623239786029]}}"
coron-philippines,"Coron, Philippines",False,12.004960160699559,120.20067267780973,"{""type"": ""Feature"", ""properties"": {""id"": ""coron-philippines"", ""name"": ""Coron, Philippines"", ""is_tbd"": false}, ""geometry"": {""type"": ""Point"", ""coordinates"": [120.20067267780973, 12.004960160699559]}}"
el-quawef-libya,"El-Quawef, Libya",False,31.760813307797136,25.08736115072189,"{""type"": ""Feature"", ""properties"": {""id"": ""el-quawef-libya"", ""name"": ""El-Quawef, Libya"", ""is_tbd"": false}, ""geometry"": {""type"": ""Point"", ""coordinates"": [25.08736115072189, 31.760813307797136]}}"
faial-portugal,"Faial, Portugal",False,38.525099690783364,-28.647561720454593,"{""type"": ""Feature"", ""properties"": {""id"": ""faial-portugal"", ""name"": ""Faial, Portugal"", ""is_tbd"": false}, ""geometry"": {""type"": ""Point"", ""coordinates"": [-28.647561720454593, 38.525099690783364]}}"
graciosa-portugal,"Graciosa, Portugal",False,39.01102990331266,-27.963480173814336,"{""type"": ""Feature"", ""properties"": {""id"": ""graciosa-portugal"", ""name"": ""Graciosa, Portugal"", ""is_tbd"": false}, ""geometry"": {""type"": ""Point"", ""coordinates"": [-27.963480173814336, 39.01102990331266]}}"
corvo-portugal,"Corvo, Portugal",False,39.67193532519225,-31.110548256901776,"{""type"": ""Feature"", ""properties"": {""id"": ""corvo-portugal"", ""name"": ""Corvo, Portugal"", ""is_tbd"": false}, ""geometry"": {""type"": ""Point"", ""coordinates"": [-31.110548256901776, 39.67193532519225]}}"
flores-portugal,"Flores, Portugal",False,39.462211754202585,-31.128516994172585,"{""type"": ""Feature"", ""properties"": {""id"": ""flores-portugal"", ""name"": ""Flores, Portugal"", ""is_tbd"": false}, ""geometry"": {""type"": ""Point"", ""coordinates"": [-31.128516994172585, 39.462211754202585]}}"
piedra-santa-spain,"Piedra Santa, Spain",False,28.04062233001219,-15.408801567666467,"{""type"": ""Feature"", ""properties"": {""id"": ""piedra-santa-spain"", ""name"": ""Piedra Santa, Spain"", ""is_tbd"": false}, ""geometry"": {""type"": ""Point"", ""coordinates"": [-15.408801567666467, 28.04062233001219]}}"
las-caletillas-spain,"Las Caletillas, Spain",False,28.37727858251394,-16.36236534527797,"{""type"": ""Feature"", ""properties"": {""id"": ""las-caletillas-spain"", ""name"": ""Las Caletillas, Spain"", ""is_tbd"": false}, ""geometry"": {""type"": ""Point"", ""coordinates"": [-16.36236534527797, 28.37727858251394]}}"
sihanoukville-cambodia,"Sihanoukville, Cambodia",False,10.630005631197276,103.5066415352679,"{""type"": ""Feature"", ""properties"": {""id"": ""sihanoukville-cambodia"", ""name"": ""Sihanoukville, Cambodia"", ""is_tbd"": false}, ""geometry"": {""type"": ""Point"", ""coordinates"": [103.5066415352679, 10.630005631197276]}}"
kralendijk-bonaire-netherlands,"Kralendijk, Bonaire, Netherlands",False,12.150684714118114,-68.27668403743753,"{""type"": ""Feature"", ""properties"": {""id"": ""kralendijk-bonaire-netherlands"", ""name"": ""Kralendijk, Bonaire, Netherlands"", ""is_tbd"": false}, ""geometry"": {""type"": ""Point"", ""coordinates"": [-68.27668403743753, 12.150684714118114]}}"
north-salina-bonaire-sint-eustatius-and-saba,"North Salina, Bonaire, Sint Eustatius and Saba",False,12.1638160000004,-68.28414900000034,"{""type"": ""Feature"", ""properties"": {""id"": ""north-salina-bonaire-sint-eustatius-and-saba"", ""name"": ""North Salina, Bonaire, Sint Eustatius and Saba"", ""is_tbd"": false}, ""geometry"": {""type"": ""Point"", ""coordinates"": [-68.28414900000034, 12.1638160000004]}}"
